packetFormat,gameMajorVersion,gameMinorVersion,packetVersion,packetId,sessionUID,sessionTime,frameIdentifier,playerCarIndex,secondaryPlayerCarIndex,lastLapTime,currentLapTime,sector1TimeInMS,sector2TimeInMS,bestLapTime,bestLapNum,bestLapSector1TimeInMS,bestLapSector2TimeInMS,bestLapSector3TimeInMS,bestOverallSector1TimeInMS,bestOverallSector1LapNum,bestOverallSector2TimeInMS,bestOverallSector2LapNum,bestOverallSector3TimeInMS,bestOverallSector3LapNum,lapDistance,totalDistance,safetyCarDelta,carPosition,currentLapNum,pitStatus,sector,currentLapInvalid,penalties,gridPosition,driverStatus,resultStatus
2020,1,18,1,2,6777929756610482444,159.578262,6585,19,255,83.404640,69.730957,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3890.782227,8185.195312,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.594955,6586,19,255,83.404640,69.747643,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3892.106934,8186.520020,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.628296,6587,19,255,83.404640,69.780991,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3894.751465,8189.164551,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.645020,6588,19,255,83.404640,69.797676,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3896.079102,8190.492188,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.678421,6589,19,255,83.404640,69.831017,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3898.731445,8193.144531,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.694962,6590,19,255,83.404640,69.847824,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3900.044922,8194.458008,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.711761,6591,19,255,83.404640,69.864372,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3901.377930,8195.791016,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.745041,6592,19,255,83.404640,69.897896,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3904.021484,8198.434570,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.761734,6593,19,255,83.404640,69.914444,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3905.347656,8199.760742,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.795151,6594,19,255,83.404640,69.947823,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3908.002930,8202.416016,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.811783,6595,19,255,83.404640,69.964546,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3909.325195,8203.738281,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.828720,6596,19,255,83.404640,69.981171,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3910.670898,8205.083984,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.861862,6597,19,255,83.404640,70.014565,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3913.306641,8207.719727,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.878510,6598,19,255,83.404640,70.031250,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3914.630859,8209.043945,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.912125,6599,19,255,83.404640,70.064644,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3917.304688,8211.717773,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.928558,6600,19,255,83.404640,70.081512,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3918.611328,8213.024414,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.961990,6601,19,255,83.404640,70.114693,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3921.271484,8215.684570,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,159.978745,6602,19,255,83.404640,70.131378,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3922.604492,8217.017578,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,160.012131,6603,19,255,83.404640,70.164734,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3925.259766,8219.672852,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,160.028732,6604,19,255,83.404640,70.181496,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3926.581055,8220.994141,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,160.062088,6605,19,255,83.404640,70.214874,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3929.235352,8223.648438,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,160.078781,6606,19,255,83.404640,70.231453,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3930.564453,8224.977539,-0.000000,6,2,0,2,0,0,10,4,2
2020,1,18,1,2,6777929756610482444,160.112213,6607,19,255,83.404640,70.265221,18120,38181,83.404640,1,24704,40586,18113,18120,2,38181,2,18113,1,3933.225586,8227.638672,-0.000000,6,2,0,2,0,0,10,4,2
